 名称 , 产地 , 供应商 , 抑制率1 , 抑制率2 , 结果 , 年份 
金针菇,福建漳州,自采,11.50%,9.71%,合格,04-21
杏鲍菇,辽宁大连,自采,3.85%,4.21%,合格,04-21
白玉菇,福建漳州,自采,1.83%,4.03%,合格,04-21
秋葵,海口秀英,自采,7.14%,5.49%,合格,04-21
虫草花,福建漳州,自采,5.86%,4.76%,合格,04-21
鲜香菇,福建漳州,自采,0.18%,1.10%,合格,04-21
平菇,海口秀英,自采,4.95%,6.04%,合格,04-21
外地大白菜,云南通海,银川物流,1.83%,0.55%,合格,04-21
菜心,云南通海,银川物流,0.73%,1.47%,合格,04-21
西红柿,云南通海,银川物流,5.31%,4.03%,合格,04-21
莲藕,琼山七水洋,泳旺,4.76%,3.66%,合格,04-21
蒜头,琼山大荒洋,进利,0.00%,0.00%,合格,04-21
地瓜叶,琼山七水洋,泳旺/龙地园,4.03%,3.11%,合格,04-21
空心菜,琼山七水洋,泳旺,5.31%,3.11%,合格,04-21
地瓜叶,琼山大荒洋,恒鑫,7.69%,6.23%,合格,04-21
空心菜,琼山大荒洋,恒鑫,5.49%,3.48%,合格,04-21
菜心,琼山大荒洋,鑫源丰,5.49%,5.86%,合格,04-21
本地小白菜,琼山大荒洋,鑫源丰,3.66%,1.65%,合格,04-21
上海青,琼山大荒洋,鑫源丰,1.28%,3.48%,合格,04-21
黑叶白,琼山大荒洋,鑫源丰,2.38%,6.59%,合格,04-21
地瓜叶,琼山七水洋,龙地园,0.00%,6.59%,合格,04-14
菜心,云南通海,广西泽元,7.51%,2.56%,合格,04-14
上海青,云南通海,广西泽元,11.00%,22.20%,合格,04-14
尖椒,云南通海,广西泽元,6.59%,7.51%,合格,04-14
西芹,云南通海,广西泽元,8.42%,2.56%,合格,04-14
生菜,云南通海,广西泽元,8.79%,6.41%,合格,04-14
白洋葱,甘肃高台,袁氏贸易,10.10%,4.58%,合格,04-14
金针菇,福建漳州,自采,10.40%,5.49%,合格,04-14
杏鲍菇,辽宁大连,自采,0.92%,0.18%,合格,04-14
白玉菇,福建漳州,自采,5.68%,0.00%,合格,04-14
秋葵,海口秀英,自采,2.38%,12.30%,合格,04-14
虫草花,福建漳州,自采,1.47%,0.37%,合格,04-14
平菇,海口秀英,自采,2.75%,0.00%,合格,04-14
鲜香菇,福建漳州,自采,2.93%,4.03%,合格,04-14
小香芹,云南通海,广西泽元,2.01%,0.00%,合格,04-13
空心菜,海南临高,东北亚贸易,0.00%,0.00%,合格,04-13
本地大黄瓜,海南乐东,中商,2.75%,0.00%,合格,04-13
小葱,云南通海,广西泽元,4.40%,4.95%,合格,04-13
白萝卜,云南通海,广西泽元,14.80%,15.90%,合格,04-13
外地大白菜,云南通海,广西泽元,0.00%,0.00%,合格,04-13
青梗小白菜,琼山大荒洋,鑫源丰,8.61%,8.06%,合格,04-19
地瓜叶,琼山大荒洋,鑫源丰,5.31%,5.68%,合格,04-19
空心菜,琼山大荒洋,鑫源丰,9.34%,7.88%,合格,04-19
芥兰,琼山大荒洋,鑫源丰,8.24%,4.76%,合格,04-19
茄子,琼山大荒洋,鑫源丰,2.93%,1.28%,合格,04-19
泡椒,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-19
本地小白菜,琼山龙湾,光伏,0.37%,1.65%,合格,04-19
青梗小白菜,琼山龙湾,光伏,1.83%,4.58%,合格,04-19
地瓜叶,琼山大荒洋,昌木达,4.40%,2.56%,合格,04-19
芥兰,琼山大荒洋,昌木达,0.00%,2.75%,合格,04-19
地瓜叶,琼山七水洋,泳旺/龙地园,4.21%,3.30%,合格,04-19
泡椒,琼山七水洋,泳旺,5.68%,1.28%,合格,04-19
上海青,琼山七水洋,泳旺,0.00%,0.00%,合格,04-19
本地小白菜,琼山七水洋,泳旺,20.30%,20.10%,合格,04-19
地瓜叶,琼山大荒洋,恒鑫,10.60%,10.80%,合格,04-19
空心菜,琼山大荒洋,恒鑫,4.95%,6.59%,合格,04-19
菜心,琼山大荒洋,展琼,7.33%,7.33%,合格,04-19
圆茄子,琼山大荒洋,湘满园,8.79%,8.42%,合格,04-19
菜心,云南通海,银川物流,2.93%,4.03%,合格,04-19
娃娃菜,云南通海,银川物流,6.59%,2.20%,合格,04-19
小香芹,山东济南,广西泽元,12.10%,8.06%,合格,04-21
茄子,云南通海,银川物流,4.58%,1.65%,合格,04-21
圆椒,云南通海,银川物流,1.83%,3.85%,合格,04-21
白萝卜,云南通海,银川物流,12.10%,15.40%,合格,04-21
韭菜,云南通海,银川物流,13.60%,15.90%,合格,04-21
蒜苔,云南通海,银川物流,4.40%,3.85%,合格,04-21
莲花白,云南通海,银川物流,13.00%,12.10%,合格,04-21
娃娃菜,云南通海,银川物流,2.38%,1.28%,合格,04-21
皇帝菜,山东寿光,中商,4.21%,2.75%,合格,04-21
生菜,云南通海,银川物流,2.20%,0.00%,合格,04-21
莴笋,云南通海,银川物流,4.21%,5.31%,合格,04-21
大葱,云南通海,银川物流,0.00%,3.11%,合格,04-21
山药,山东菏泽,广西泽元,10.60%,3.30%,合格,04-21
芋头,琼山七水洋,泳旺,1.28%,5.49%,合格,04-21
冬瓜,云南通海,银川物流,6.41%,2.56%,合格,04-21
南瓜,云南通海,银川物流,3.66%,4.58%,合格,04-21
土豆,云南通海,银川物流,5.31%,2.20%,合格,04-21
香菜,琼山七水洋,泳旺,4.03%,3.48%,合格,04-21
菠菜,云南通海,东北亚贸易,5.13%,2.20%,合格,04-21
西兰花,云南陆良,中商,4.58%,2.93%,合格,04-21
黄玉米,琼山七水洋,泳旺,11.20%,12.10%,合格,04-16
芋头,琼山七水洋,泳旺,8.42%,6.59%,合格,04-16
蒜苔,云南通海,银川物流,0.37%,0.37%,合格,04-20
菠菜,云南通海,东北亚贸易,12.10%,12.10%,合格,04-16
香菜,云南通海,东北亚贸易,12.30%,8.61%,合格,04-16
莲花白,云南通海,银川物流,0.00%,0.00%,合格,04-20
外地大白菜,云南通海,银川物流,0.37%,0.00%,合格,04-20
娃娃菜,云南通海,银川物流,20.10%,21.40%,合格,04-20
茄子,云南通海,银川物流,5.86%,8.24%,合格,04-20
胡萝卜,云南通海,银川物流,0.00%,1.83%,合格,04-20
大葱,云南通海,银川物流,0.73%,0.00%,合格,04-20
山药,云南通海,银川物流,9.89%,7.51%,合格,04-20
黑叶白,海口秀英,自采,0.00%,0.00%,合格,04-20
青梗小白菜,海口秀英,自采,0.00%,0.00%,合格,04-20
香菜,琼山七水洋,泳旺,0.00%,0.00%,合格,04-20
苦瓜,云南通海,银川物流,1.65%,2.93%,合格,04-20
生菜,云南通海,银川物流,0.00%,0.00%,合格,04-20
皇帝菜,山东寿光,中商,5.86%,6.78%,合格,04-16
西红柿,云南通海,广西泽元,11.50%,16.30%,合格,04-16
金丝白,云南通海,广西泽元,7.14%,2.93%,合格,04-16
蒜苗,云南通海,东北亚贸易,5.68%,9.71%,合格,04-16
尖椒,云南通海,广西泽元,0.00%,1.28%,合格,04-16
小香芹,云南通海,广西泽元,10.30%,11.50%,合格,04-16
苦瓜,云南通海,广西泽元,27.50%,28.80%,合格,04-16
大芥菜,云南陆良,中商,9.34%,4.40%,合格,04-16
西芹,云南通海,广西泽元,7.69%,4.03%,合格,04-16
空心菜,海南临高,东北亚贸易,0.00%,0.00%,合格,04-16
大葱,云南通海,广西泽元,8.79%,5.13%,合格,04-16
西兰花,云南通海,广西泽元,9.16%,5.86%,合格,04-16
外地大白菜,云南通海,广西泽元,8.97%,4.58%,合格,04-16
土豆,云南通海,广西泽元,4.21%,2.93%,合格,04-16
小黄白,云南通海,广西泽元,3.48%,4.40%,合格,04-16
本地大黄瓜,海南澄迈,秀英好良心,3.85%,0.00%,合格,04-16
油麦菜,云南通海,银川物流,0.00%,0.00%,合格,04-20
金丝白,云南通海,银川物流,0.00%,0.00%,合格,04-20
莴笋,云南通海,银川物流,0.00%,0.00%,合格,04-20
小葱,云南通海,银川物流,4.76%,0.00%,合格,04-20
上海青,云南通海,银川物流,0.00%,0.00%,合格,04-20
西兰花,云南陆良,中商,0.18%,0.00%,合格,04-20
冬瓜,云南通海,银川物流,6.96%,7.69%,合格,04-20
泡椒,琼山七水洋,泳旺,16.30%,10.30%,合格,04-16
白萝卜,云南通海,广西泽元,18.90%,17.00%,合格,04-16
胡萝卜,云南通海,广西泽元,24.00%,27.10%,合格,04-16
红富士,山西运城,椰枝花,18.10%,22.50%,合格,04-16
蜜梨,四川华蓥,椰枝花,20.90%,17.20%,合格,04-16
贡梨,安徽砀山,椰枝花,2.75%,7.51%,合格,04-16
芭蕉,海南乐东,椰枝花,7.88%,9.52%,合格,04-16
平菇,海口秀英,自采,9.34%,9.52%,合格,04-16
凤梨,海南海口,艾乐兔,6.41%,4.95%,合格,04-16
白萝卜,云南通海,广西泽元,9.52%,10.30%,合格,04-15
苦瓜,云南通海,广西泽元,8.06%,8.24%,合格,04-15
尖椒,云南通海,广西泽元,0.92%,1.10%,合格,04-15
外地大白菜,云南通海,广西泽元,8.42%,5.86%,合格,04-15
莲花白,云南通海,广西泽元,10.30%,7.51%,合格,04-15
蒜头,琼山大荒洋,进利,0.18%,0.00%,合格,04-15
生姜,琼山大荒洋,进利,3.48%,0.00%,合格,04-15
芋头,琼山七水洋,泳旺,0.55%,0.00%,合格,04-15
娃娃菜,云南通海,广西泽元,1.65%,8.79%,合格,04-15
大葱,云南通海,广西泽元,4.58%,0.00%,合格,04-15
莴笋,云南通海,广西泽元,2.56%,2.93%,合格,04-15
白玉菇,福建漳州,自采,0.00%,2.75%,合格,04-17
秋葵,海口秀英,自采,0.00%,0.00%,合格,04-17
虫草花,福建漳州,自采,10.40%,10.30%,合格,04-17
鲜香菇,福建漳州,自采,1.10%,2.38%,合格,04-17
平菇,海口秀英,自采,9.52%,1.28%,合格,04-17
大芥菜,云南陆良,中商,3.66%,3.66%,合格,04-17
菜心,琼山大荒洋,鑫源丰,6.23%,7.51%,合格,04-17
本地小白菜,琼山大荒洋,鑫源丰,4.58%,5.49%,合格,04-17
上海青,琼山大荒洋,鑫源丰,7.69%,6.96%,合格,04-17
黑叶白,琼山大荒洋,鑫源丰,7.51%,6.96%,合格,04-17
青梗小白菜,琼山大荒洋,鑫源丰,7.14%,6.78%,合格,04-17
地瓜叶,琼山大荒洋,鑫源丰,0.18%,3.85%,合格,04-17
空心菜,琼山大荒洋,鑫源丰,0.00%,3.85%,合格,04-17
芥兰,琼山大荒洋,鑫源丰,7.69%,4.95%,合格,04-17
茄子,琼山大荒洋,鑫源丰,4.95%,2.01%,合格,04-17
泡椒,琼山大荒洋,鑫源丰,0.18%,4.03%,合格,04-17
地瓜叶,琼山大荒洋,昌木达,7.33%,2.93%,合格,04-17
菜心,琼山大荒洋,昌木达,6.59%,1.47%,合格,04-17
芥兰,琼山大荒洋,昌木达,15.20%,12.60%,合格,04-17
菜心,琼山大荒洋,展琼,5.49%,5.68%,合格,04-17
苦瓜,云南通海,广西泽元,4.58%,2.75%,合格,04-13
香菜,琼山七水洋,泳旺,8.61%,9.89%,合格,04-13
大芥菜,云南陆良,中商,0.00%,3.30%,合格,04-13
西芹,云南通海,广西泽元,2.75%,3.66%,合格,04-13
韭菜,云南通海,广西泽元,4.21%,3.11%,合格,04-13
生姜,琼山大荒洋,进利,0.00%,0.37%,合格,04-13
西瓜,山西文恩,椰枝花,6.23%,4.21%,合格,04-13
丑苹果,四川凉山,椰枝花,3.30%,2.38%,合格,04-13
红富士,山西运城,椰枝花,2.93%,3.30%,合格,04-13
蜜梨,四川华蓥,椰枝花,0.92%,3.48%,合格,04-13
芭蕉,海南乐东,椰枝花,1.65%,4.21%,合格,04-13
冬瓜,云南通海,广西泽元,3.11%,2.93%,合格,04-13
南瓜,云南通海,广西泽元,3.85%,2.93%,合格,04-13
地瓜,云南通海,广西泽元,1.65%,2.20%,合格,04-13
莲花白,云南通海,广西泽元,9.71%,6.78%,合格,04-13
胡萝卜,云南通海,广西泽元,3.30%,2.01%,合格,04-13
菜心,云南通海,广西泽元,8.97%,8.42%,合格,04-13
莲藕,琼山七水洋,泳旺,7.33%,7.88%,合格,04-13
白洋葱,甘肃高台,袁氏,2.93%,5.13%,合格,04-13
蜜梨,安徽淮化,玉玉橙橙,2.01%,0.00%,合格,04-13
生菜,云南通海,广西泽元,1.28%,2.93%,合格,04-16
菜心,云南通海,广西泽元,6.78%,3.30%,合格,04-16
菜心,琼山大荒洋,鑫源丰,11.20%,13.40%,合格,04-16
本地小白菜,琼山大荒洋,鑫源丰,11.90%,12.50%,合格,04-16
上海青,琼山大荒洋,鑫源丰,12.30%,12.50%,合格,04-16
小芥菜,琼山大荒洋,鑫源丰,14.70%,9.34%,合格,04-16
黑叶白,琼山大荒洋,鑫源丰,9.89%,15.60%,合格,04-16
青梗小白菜,琼山大荒洋,鑫源丰,6.23%,9.34%,合格,04-16
地瓜叶,琼山大荒洋,鑫源丰,9.34%,5.49%,合格,04-16
空心菜,琼山大荒洋,鑫源丰,4.76%,2.38%,合格,04-16
芥兰,琼山大荒洋,鑫源丰,2.93%,5.31%,合格,04-16
茄子,琼山大荒洋,鑫源丰,4.21%,12.10%,合格,04-16
泡椒,琼山大荒洋,鑫源丰,3.85%,8.97%,合格,04-16
菜心,琼山大荒洋,展琼,7.14%,0.73%,合格,04-16
黑叶白,琼山大荒洋,恒鑫,7.69%,5.86%,合格,04-16
地瓜叶,琼山大荒洋,恒鑫,0.55%,4.40%,合格,04-16
空心菜,琼山大荒洋,恒鑫,17.20%,3.85%,合格,04-16
地瓜叶,琼山大荒洋,昌木达,21.80%,21.10%,合格,04-16
圆茄子,琼山大荒洋,湘满园,19.60%,19.60%,合格,04-16
地瓜叶,琼山七水洋,泳旺/龙地园,17.00%,16.10%,合格,04-16
西红柿,云南通海,广西泽元,0.55%,0.00%,合格,04-13
大葱,云南通海,广西泽元,0.00%,0.55%,合格,04-13
蒜苗,云南通海,广西泽元,23.40%,20.50%,合格,04-13
油麦菜,云南通海,广西泽元,0.92%,0.00%,合格,04-13
皇帝菜,山东寿光,中商,1.10%,0.00%,合格,04-13
菠菜,云南陆良,中商,4.21%,4.03%,合格,04-13
黄瓜,云南通海,广西泽元,0.00%,0.00%,合格,04-13
尖椒,云南通海,广西泽元,0.00%,0.00%,合格,04-13
蒜苔,云南通海,广西泽元,2.20%,0.00%,合格,04-13
金丝白,云南通海,广西泽元,0.00%,0.00%,合格,04-13
娃娃菜,云南通海,广西泽元,6.41%,3.30%,合格,04-13
莴笋,云南通海,广西泽元,0.00%,2.93%,合格,04-13
西兰花,云南通海,广西泽元,8.79%,6.23%,合格,04-13
山药,河北蠡县,中商,0.00%,10.60%,合格,04-13
芋头,琼山七水洋,泳旺,1.83%,0.18%,合格,04-13
玉米,海南东方,中商,4.76%,0.00%,合格,04-13
土豆,云南通海,广西泽元,9.52%,5.86%,合格,04-13
蒜头,琼山大荒洋,进利,1.65%,2.38%,合格,04-13
茄子,云南通海,广西泽元,1.47%,5.13%,合格,04-13
圆椒,云南通海,广西泽元,0.92%,0.00%,合格,04-13
上海青,云南通海,广西泽元,12.60%,13.20%,合格,04-17
空心菜,海南临高,东北亚贸易,3.66%,6.04%,合格,04-17
皇帝菜,山东寿光,中商,2.93%,1.10%,合格,04-17
苦瓜,云南通海,广西泽元,5.49%,4.58%,合格,04-17
白萝卜,云南通海,广西泽元,18.50%,18.90%,合格,04-17
黄瓜,云南通海,广西泽元,5.31%,5.86%,合格,04-17
娃娃菜,云南通海,广西泽元,10.30%,9.34%,合格,04-17
莲花白,云南通海,广西泽元,13.90%,10.10%,合格,04-17
外地大白菜,云南通海,广西泽元,6.41%,6.96%,合格,04-17
金丝白,云南通海,广西泽元,18.50%,16.70%,合格,04-17
大葱,云南通海,广西泽元,8.79%,4.95%,合格,04-17
黄玉米,琼山七水洋,泳旺,10.10%,9.71%,合格,04-17
芋头,琼山七水洋,泳旺,8.61%,6.59%,合格,04-17
莴笋,云南通海,广西泽元,7.14%,8.97%,合格,04-17
蒜苗,云南通海,东北亚贸易,3.30%,4.03%,合格,04-17
小葱,云南通海,广西泽元,14.10%,11.90%,合格,04-17
小香芹,云南通海,广西泽元,2.38%,1.28%,合格,04-17
西红柿,云南通海,广西泽元,2.01%,4.58%,合格,04-17
山药,河北蠡县,中商,0.00%,4.21%,合格,04-17
生姜,云南文山,东北亚贸易,2.93%,4.03%,合格,04-17
金针菇,福建漳州,自采,5.13%,4.95%,合格,04-15
杏鲍菇,辽宁大连,自采,8.42%,7.69%,合格,04-15
白玉菇,福建漳州,自采,2.38%,4.76%,合格,04-15
秋葵,海口秀英,自采,6.41%,5.49%,合格,04-15
虫草花,福建漳州,自采,0.00%,2.93%,合格,04-15
平菇,海口秀英,自采,2.01%,1.28%,合格,04-15
鲜香菇,福建漳州,自采,4.21%,0.00%,合格,04-15
白洋葱,甘肃高台,袁氏贸易,0.00%,0.00%,合格,04-15
本地小白菜,琼山七水洋,泳旺,14.30%,11.00%,合格,04-15
金丝白,云南通海,广西泽元,7.69%,4.21%,合格,04-15
胡萝卜,云南通海,广西泽元,5.13%,0.73%,合格,04-15
小香芹,云南通海,广西泽元,2.75%,1.47%,合格,04-15
莲藕,琼山七水洋,泳旺,0.00%,0.00%,合格,04-15
西兰花,云南通海,广西泽元,2.56%,1.83%,合格,04-15
山药,河北蠡县,中商,4.76%,3.66%,合格,04-15
蒜苔,云南通海,广西泽元,4.58%,5.49%,合格,04-15
菜心,云南通海,广西泽元,31.00%,28.00%,合格,04-15
上海青,云南通海,广西泽元,8.42%,4.95%,合格,04-15
蒜苗,云南通海,广西泽元,11.40%,11.40%,合格,04-15
茄子,云南通海,广西泽元,5.49%,4.40%,合格,04-15
芥兰,琼山大荒洋,鑫源丰,4.95%,5.13%,合格,04-12
茄子,琼山大荒洋,鑫源丰,2.01%,0.00%,合格,04-12
菜心,琼山大荒洋,恒鑫,3.11%,4.58%,合格,04-12
地瓜叶,琼山大荒洋,恒鑫,0.92%,5.86%,合格,04-12
本地小白菜,琼山大荒洋,昌木达,4.95%,4.03%,合格,04-12
地瓜叶,琼山大荒洋,昌木达,6.41%,2.20%,合格,04-12
苋菜,琼山大荒洋,昌木达,7.14%,5.31%,合格,04-12
地瓜叶,琼山七水洋,泳旺,3.85%,3.66%,合格,04-12
泡椒,琼山七水洋,泳旺,0.92%,0.00%,合格,04-12
圆茄子,琼山大荒洋,湘满园,2.75%,4.40%,合格,04-12
地瓜叶,琼山七水洋,龙地园,0.00%,0.37%,合格,04-12
西红柿,云南通海,广西泽元,0.00%,2.93%,合格,04-12
生菜,云南通海,广西泽元,3.85%,3.30%,合格,04-12
蜜梨,四川华蓥,椰枝花,1.47%,4.40%,合格,04-12
大芥菜,云南陆良,东北亚贸易,5.68%,8.79%,合格,04-11
小芥菜,海口秀英,自采,0.18%,1.47%,合格,04-11
菠菜,云南通海,东北亚贸易,6.23%,8.97%,合格,04-11
空心菜,海南临高,银川物流,0.00%,4.58%,合格,04-11
蒜苔,云南通海,广西泽元,0.37%,0.00%,合格,04-11
黄瓜,云南通海,广西泽元,3.85%,0.92%,合格,04-11
外地大白菜,云南通海,广西泽元,8.97%,10.40%,合格,04-14
黄玉米,海南东方,中商,0.00%,0.00%,合格,04-14
胡萝卜,云南通海,广西泽元,8.97%,8.79%,合格,04-14
本地大黄瓜,海南乐东,中商,1.47%,0.00%,合格,04-14
菠菜,云南陆良,中商,7.69%,12.30%,合格,04-14
蒜苗,云南通海,广西泽元,35.00%,33.90%,合格,04-14
苦瓜,云南通海,广西泽元,0.00%,4.21%,合格,04-14
皇帝菜,山东寿光,中商,0.18%,0.00%,合格,04-14
小黄白,云南通海,广西泽元,0.00%,1.47%,合格,04-14
大葱,云南通海,广西泽元,0.92%,0.00%,合格,04-14
山药,河北蠡县,中商,3.11%,2.38%,合格,04-14
芋头,琼山七水洋,泳旺,0.00%,0.00%,合格,04-14
本地小白菜,琼山七水洋,泳旺,9.16%,7.88%,合格,04-14
青梗小白菜,海口秀英,自采,16.10%,10.40%,合格,04-14
金丝白,云南通海,广西泽元,1.47%,0.00%,合格,04-14
土豆,云南通海,广西泽元,7.33%,2.93%,合格,04-14
莴笋,云南通海,广西泽元,4.40%,3.30%,合格,04-14
西兰花,云南通海,广西泽元,0.00%,4.40%,合格,04-14
生姜,琼山大荒洋,进利,2.20%,3.66%,合格,04-14
蒜头,琼山大荒洋,进利,6.23%,5.13%,合格,04-14
外地大白菜,云南通海,银川物流,8.24%,8.06%,合格,04-19
苦瓜,云南通海,银川物流,5.86%,5.68%,合格,04-19
西芹,云南通海,银川物流,3.66%,0.92%,合格,04-19
皇帝菜,山东寿光,中商,4.40%,4.58%,合格,04-19
土豆,云南通海,银川物流,3.66%,1.28%,合格,04-19
韭菜,云南通海,银川物流,3.85%,3.85%,合格,04-19
金丝白,云南通海,银川物流,1.83%,0.73%,合格,04-19
小黄白,云南通海,银川物流,6.96%,5.86%,合格,04-19
上海青,云南通海,银川物流,10.30%,9.16%,合格,04-19
西红柿,云南通海,银川物流,8.06%,5.49%,合格,04-19
胡萝卜,云南通海,银川物流,3.66%,6.04%,合格,04-19
小葱,云南通海,银川物流,17.20%,16.10%,合格,04-19
大葱,云南通海,银川物流,3.66%,2.01%,合格,04-19
红富士,山西运城,椰枝花,2.75%,4.03%,合格,04-19
香梨,山西运城,椰枝花,10.80%,8.42%,合格,04-19
蜜梨,山西运城,椰枝花,0.55%,3.11%,合格,04-19
贡梨,山西运城,椰枝花,3.11%,6.23%,合格,04-19
香蕉,海南乐东,椰枝花,4.03%,4.03%,合格,04-19
芭蕉,海南乐东,椰枝花,2.20%,0.55%,合格,04-19
丑苹果,陕西延安,玉玉橙橙,5.86%,0.00%,合格,04-19
小香芹,山东济南,广西泽元,0.00%,0.00%,合格,04-19
小葱,云南通海,广西泽元,2.38%,2.38%,合格,04-18
油麦菜,云南通海,广西泽元,0.00%,0.18%,合格,04-18
莲花白,云南通海,广西泽元,0.18%,2.56%,合格,04-18
地瓜叶,海口秀英,自采,3.11%,4.03%,合格,04-18
空心菜,海南临高,东北亚贸易,0.00%,0.18%,合格,04-18
白萝卜,云南通海,广西泽元,5.68%,4.40%,合格,04-18
黄瓜,云南通海,广西泽元,1.65%,0.73%,合格,04-18
西红柿,云南通海,广西泽元,1.65%,0.00%,合格,04-18
青梗小白菜,琼山大荒洋,鑫源丰,1.10%,0.00%,合格,04-21
外地大白菜,云南通海,广西泽元,4.76%,4.76%,合格,04-18
地瓜叶,琼山大荒洋,鑫源丰,2.93%,0.37%,合格,04-21
西兰花,云南通海,广西泽元,0.00%,0.00%,合格,04-18
泡椒,琼山大荒洋,鑫源丰,2.01%,2.01%,合格,04-21
圆茄子,琼山大荒洋,湘满园,8.06%,0.92%,合格,04-15
空心菜,琼山大荒洋,鑫源丰,0.37%,0.00%,合格,04-21
大葱,云南通海,广西泽元,0.00%,2.01%,合格,04-18
生菜,云南通海,广西泽元,1.83%,0.37%,合格,04-15
茄子,琼山大荒洋,鑫源丰,7.33%,4.03%,合格,04-21
山药,河北蠡县,中商,3.66%,2.75%,合格,04-18
西瓜,海南文昌,椰枝花,0.55%,5.13%,合格,04-15
菜心,琼山大荒洋,昌木达,4.95%,6.04%,合格,04-21
黄玉米,琼山七水洋,泳旺,0.92%,0.73%,合格,04-18
红富士,山西运城,椰枝花,2.56%,3.30%,合格,04-15
地瓜叶,琼山大荒洋,昌木达,2.93%,4.58%,合格,04-21
黑叶白,琼山七水洋,泳旺,19.80%,20.70%,合格,04-11
芋头,琼山七水洋,泳旺,6.41%,4.58%,合格,04-18
蜜梨,四川华蓥,椰枝花,9.71%,10.40%,合格,04-15
本地小白菜,琼山龙湾,光伏,2.38%,1.65%,合格,04-21
冬瓜,云南通海,广西泽元,7.14%,4.03%,合格,04-18
贡梨,安徽砀山,椰枝花,1.65%,5.13%,合格,04-15
本地小白菜,琼山七水洋,泳旺,5.49%,2.56%,合格,04-11
南瓜,云南通海,广西泽元,2.93%,0.37%,合格,04-18
菜心,琼山大荒洋,昌木达,3.85%,2.38%,合格,04-18
青梗小白菜,琼山龙湾,光伏,2.38%,2.93%,合格,04-21
沃柑,广西武鸣,椰枝花,7.51%,0.00%,合格,04-15
白萝卜,云南通海,广西泽元,2.20%,1.83%,合格,04-11
本地小白菜,琼山龙湾,光伏,0.00%,1.47%,合格,04-20
尖椒,云南通海,广西泽元,2.56%,2.20%,合格,04-18
地瓜叶,琼山大荒洋,昌木达,0.92%,0.00%,合格,04-18
菜心,琼山大荒洋,展琼,1.47%,3.11%,合格,04-21
芭蕉,海南乐东,椰枝花,3.30%,6.23%,合格,04-15
莲藕,湖北汉川,海南物流,0.18%,0.00%,合格,04-11
青梗小白菜,琼山龙湾,光伏,0.55%,4.03%,合格,04-20
小黄白,云南通海,广西泽元,0.00%,2.38%,合格,04-18
芥兰,琼山大荒洋,昌木达,14.10%,18.10%,合格,04-18
圆茄子,琼山大荒洋,湘满园,1.65%,1.47%,合格,04-21
小葱,云南通海,广西泽元,14.70%,12.30%,合格,04-14
香芋南瓜,海南昌江,许英梅,3.48%,0.00%,合格,04-11
菜心,琼山大荒洋,展琼,0.00%,4.03%,合格,04-20
金丝白,云南通海,广西泽元,0.00%,4.95%,合格,04-18
本地小白菜,琼山龙湾,光伏,0.92%,0.00%,合格,04-18
西芹,云南通海,银川物流,0.00%,4.21%,合格,04-21
小香芹,云南通海,广西泽元,9.71%,5.49%,合格,04-14
菜心,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-20
生姜,云南文山,东北亚贸易,0.55%,1.28%,合格,04-11
小香芹,山东济南,广西泽元,0.00%,0.00%,合格,04-20
地瓜,云南通海,秀英东南鸿,8.97%,8.61%,合格,04-14
山药,河南安阳,海南物流,1.10%,0.92%,合格,04-11
本地小白菜,琼山大荒洋,鑫源丰,0.00%,1.28%,合格,04-20
皇帝菜,山东寿光,中商,0.00%,0.00%,合格,04-20
青梗小白菜,琼山龙湾,光伏,4.21%,3.66%,合格,04-18
白萝卜,云南通海,广西泽元,0.00%,4.21%,合格,04-14
尖椒,云南通海,广西泽元,1.10%,3.66%,合格,04-11
油麦菜,云南通海,广西泽元,0.00%,0.73%,合格,04-14
蒜苗,云南通海,东北亚贸易,8.42%,9.52%,合格,04-11
圆椒,云南通海,银川物流,0.00%,0.00%,合格,04-20
丝瓜,海口秀英,自采,0.73%,4.58%,合格,04-11
地瓜叶,琼山大荒洋,恒鑫,0.00%,3.85%,合格,04-18
蒜苗,云南通海,东北亚贸易,0.73%,2.38%,合格,04-11
菜心,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-11
本地小白菜,琼山大荒洋,鑫源丰,0.00%,3.30%,合格,04-11
上海青,琼山大荒洋,鑫源丰,2.01%,4.03%,合格,04-11
小芥菜,琼山大荒洋,鑫源丰,8.79%,4.76%,合格,04-11
黑叶白,琼山大荒洋,鑫源丰,8.79%,8.97%,合格,04-11
青梗小白菜,琼山大荒洋,鑫源丰,6.78%,3.30%,合格,04-11
地瓜叶,琼山大荒洋,鑫源丰,4.95%,6.59%,合格,04-11
芥兰,琼山大荒洋,鑫源丰,3.48%,2.56%,合格,04-11
泡椒,琼山大荒洋,鑫源丰,1.28%,5.49%,合格,04-11
茄子,云南通海,广西泽元,0.00%,0.00%,合格,04-14
空心菜,琼山大荒洋,恒鑫,0.73%,4.58%,合格,04-18
黄瓜,云南通海,广西泽元,0.00%,0.73%,合格,04-14
上海青,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,04-20
西红柿,云南通海,银川物流,17.20%,19.60%,合格,04-20
西红柿,云南通海,广西泽元,0.00%,0.00%,合格,04-14
蒜苔,云南通海,广西泽元,3.48%,2.93%,合格,04-14
